target_lines,plate_id
U22-915057,F-8_Mips22.Master9_F-8_Mips22.Master9
U22-915058,C-12_Mips22.Master7_C-12_Mips22.Master7
U22-915061,D-10_Mips22.Master22_D-10_Mips22.Master22
U22-915066,B-1_Mips22.Master9_B-1_Mips22.Master9
U22-915069,D-6_Mips22.Master38_D-6_Mips22.Master38
U22-915070,G-2_Mips22.Master23_G-2_Mips22.Master23
U22-915071,E-6_Mips22.Master11_E-6_Mips22.Master11
U22-915073,H-1_Mips22.Master21_H-1_Mips22.Master21
U22-915074,G-8_Mips22.Master22_G-8_Mips22.Master22
U22-915075,C-7_Mips22.Master8_C-7_Mips22.Master8
U22-915076,B-3_Mips22.Master11_B-3_Mips22.Master11
U22-915077,A-9_Mips22.Master16_A-9_Mips22.Master16
U22-915079,G-6_Mips22.Master8_G-6_Mips22.Master8
U22-915081,B-5_Mips22.Master11_B-5_Mips22.Master11
U22-915082,D-6_Mips22.Master23_D-6_Mips22.Master23
U22-915083,B-7_Mips22.Master7_B-7_Mips22.Master7
U22-915085,A-5_Mips22.Master10_A-5_Mips22.Master10
U22-915087,H-4_Mips22.Master17_H-4_Mips22.Master17
U22-915088,D-7_Mips22.Master22_D-7_Mips22.Master22
U22-915089,G-9_Mips22.Master23_G-9_Mips22.Master23
U22-915091,A-12_Mips22.Master7_A-12_Mips22.Master7
U22-915092,H-1_Mips22.Master8_H-1_Mips22.Master8
U22-916004,D-3_Mips22.Master17_D-3_Mips22.Master17
U22-916005,G-6_Mips22.Master16_G-6_Mips22.Master16
U22-916006,H-1_Mips22.Master6_H-1_Mips22.Master6
U22-916007,B-11_Mips22.Master18_B-11_Mips22.Master18
U22-916009,E-12_Mips22.Master20_E-12_Mips22.Master20
U22-916011,G-2_Mips22.Master10_G-2_Mips22.Master10
U22-916012,B-1_Mips22.Master21_B-1_Mips22.Master21
U22-916013,H-9_Mips22.Master17_H-9_Mips22.Master17
U22-916015,H-8_Mips22.Master17_H-8_Mips22.Master17
U22-916017,F-11_Mips22.Master38_F-11_Mips22.Master38
U22-916018,A-10_Mips22.Master22_A-10_Mips22.Master22
U22-916019,G-7_Mips22.Master22_G-7_Mips22.Master22
U22-916020,D-7_Mips22.Master9_D-7_Mips22.Master9
U22-916021,B-8_Mips22.Master19_B-8_Mips22.Master19
U22-916022,D-5_Mips22.Master23_D-5_Mips22.Master23
U22-916026,H-8_Mips22.Master8_H-8_Mips22.Master8
U22-916027,F-5_Mips22.Master9_F-5_Mips22.Master9
U22-916028,B-6_Mips22.Master20_B-6_Mips22.Master20
U22-916029,E-12_Mips22.Master19_E-12_Mips22.Master19
U22-916030,A-5_Mips22.Master11_A-5_Mips22.Master11
U22-916031,C-2_Mips22.Master9_C-2_Mips22.Master9
U22-916032,D-2_Mips22.Master17_D-2_Mips22.Master17
U22-916033,B-7_Mips22.Master10_B-7_Mips22.Master10
U22-916034,G-7_Mips22.Master16_G-7_Mips22.Master16
U22-916037,A-1_Mips22.Master17_A-1_Mips22.Master17
U22-916038,A-5_Mips22.Master7_A-5_Mips22.Master7
U22-916039,D-4_Mips22.Master18_D-4_Mips22.Master18
U22-916040,F-9_Mips22.Master20_F-9_Mips22.Master20
U22-916041,D-12_Mips22.Master38_D-12_Mips22.Master38
U22-916042,A-10_Mips22.Master8_A-10_Mips22.Master8
U22-916043,B-1_Mips22.Master20_B-1_Mips22.Master20
U22-916044,D-5_Mips22.Master10_D-5_Mips22.Master10
U22-916045,E-11_Mips22.Master21_E-11_Mips22.Master21
U22-916046,A-1_Mips22.Master10_A-1_Mips22.Master10
U22-916047,C-3_Mips22.Master20_C-3_Mips22.Master20
U22-916048,A-1_Mips22.Master18_A-1_Mips22.Master18
U22-916049,C-9_Mips22.Master11_C-9_Mips22.Master11
U22-916052,B-12_Mips22.Master20_B-12_Mips22.Master20
U22-916056,H-1_Mips22.Master38_H-1_Mips22.Master38
U22-916061,G-2_Mips22.Master11_G-2_Mips22.Master11
U22-916062,F-4_Mips22.Master38_F-4_Mips22.Master38
U22-916065,E-8_Mips22.Master7_E-8_Mips22.Master7
U22-916066,G-8_Mips22.Master8_G-8_Mips22.Master8
U22-916067,G-1_Mips22.Master18_G-1_Mips22.Master18
U22-916069,D-12_Mips22.Master19_D-12_Mips22.Master19
U22-916070,B-2_Mips22.Master19_B-2_Mips22.Master19
U22-916071,B-11_Mips22.Master17_B-11_Mips22.Master17
U22-916074,G-3_Mips22.Master19_G-3_Mips22.Master19
